date,sector,ticker,name,market,close,ret_1w,ret_1m,ret_3m,ret_ytd,benchmark,benchmark_ret_1w,excess_ret_1w,drawdown_52w,turnover_value,turnover_value_20d_avg,turnover_ratio_20d,price_signal,error
2026-07-24,반도체,005930,삼성전자,KOSPI,249500,-2.16,-26.73,13.67,94.16,KOSPI_PROXY_KODEX200,-2.42,0.26,-33.38,6530797729000,8244346823950,0.79,correction_watch,
2026-07-24,반도체,000660,SK하이닉스,KOSPI,1759000,-4.51,-31.82,43.94,159.82,KOSPI_PROXY_KODEX200,-2.42,-2.09,-41.11,8681669389000,12946458569150,0.67,correction_watch,
2026-07-24,방산,012450,한화에어로스페이스,KOSPI,979000,3.82,-10.51,-33.08,3.49,KOSPI_PROXY_KODEX200,-2.42,6.24,-40.85,238214196000,232298162150,1.03,correction_watch,
2026-07-24,방산,064350,현대로템,KOSPI,158400,-0.38,-18.98,-32.02,-18.1,KOSPI_PROXY_KODEX200,-2.42,2.04,-43.83,110704017600,100471471520,1.1,correction_watch,
2026-07-24,방산,079550,LIG디펜스앤에어로스페이스,KOSPI,762000,1.74,-7.52,-22.95,73.58,KOSPI_PROXY_KODEX200,-2.42,4.15,-31.84,174962820000,119537910700,1.46,correction_watch,
2026-07-24,방산,047810,한국항공우주,KOSPI,158100,5.97,10.48,-7.76,35.36,KOSPI_PROXY_KODEX200,-2.42,8.38,-26.64,64866374700,67434780220,0.96,correction_watch,
2026-07-24,전력기기,010120,LS ELECTRIC,KOSPI,202000,6.32,-10.02,-10.82,105.08,KOSPI_PROXY_KODEX200,-2.42,8.73,-39.7,226325850000,220678409420,1.03,correction_watch,
2026-07-24,전력기기,298040,효성중공업,KOSPI,2681000,-3.87,-20.04,-24.52,45.31,KOSPI_PROXY_KODEX200,-2.42,-1.45,-43.46,113382171000,156546341500,0.72,correction_watch,
2026-07-24,전력기기,006260,LS,KOSPI,307000,6.6,-13.15,-22.96,47.24,KOSPI_PROXY_KODEX200,-2.42,9.01,-49.17,42683131000,57041855575,0.75,correction_watch,
2026-07-24,전력기기,267260,HD현대일렉트릭,KOSPI,810000,1.63,-13.55,-35.1,-1.1,KOSPI_PROXY_KODEX200,-2.42,4.05,-43.36,91188990000,143260223850,0.64,correction_watch,
2026-07-24,전력기기,001440,대한전선,KOSPI,28100,1.44,-17.72,-34.42,18.07,KOSPI_PROXY_KODEX200,-2.42,3.86,-62.98,59742763700,79349606050,0.75,correction_watch,
2026-07-24,조선,042660,한화오션,KOSPI,87900,1.38,-17.08,-34.84,-23.37,KOSPI_PROXY_KODEX200,-2.42,3.8,-43.22,136618838700,213483614010,0.64,correction_watch,
2026-07-24,조선,010140,삼성중공업,KOSPI,22900,2.69,-6.91,-33.43,-5.18,KOSPI_PROXY_KODEX200,-2.42,5.11,-35.22,67005812200,92483834732,0.72,correction_watch,
2026-07-24,조선,329180,HD현대중공업,KOSPI,485500,0.31,-17.29,-27.65,-3.67,KOSPI_PROXY_KODEX200,-2.42,2.73,-36.54,94381200000,162843635000,0.58,correction_watch,
2026-07-24,조선,009540,HD한국조선해양,KOSPI,372000,5.08,1.09,-21.85,-5.46,KOSPI_PROXY_KODEX200,-2.42,7.5,-24.77,53716800000,75958394775,0.71,correction_watch,
2026-07-24,조선,082740,한화엔진,KOSPI,49050,4.58,-4.94,-35.46,16.65,KOSPI_PROXY_KODEX200,-2.42,7.0,-48.04,41405116050,38600363548,1.07,correction_watch,
2026-07-24,전기전자,009150,삼성전기,KOSPI,1326000,3.84,-32.48,68.27,391.11,KOSPI_PROXY_KODEX200,-2.42,6.25,-45.14,750093006000,1597583817650,0.47,correction_watch,
2026-07-24,전기전자,011070,LG이노텍,KOSPI,625000,-6.44,-34.69,15.31,133.64,KOSPI_PROXY_KODEX200,-2.42,-4.02,-65.04,89908750000,220287344450,0.41,correction_watch,
2026-07-24,전기전자,007660,이수페타시스,KOSPI,87000,-5.43,-18.92,-43.29,-28.4,KOSPI_PROXY_KODEX200,-2.42,-3.02,-47.08,45073308000,116375939805,0.39,correction_watch,
2026-07-24,전기전자,353200,대덕전자,KOSPI,109500,-20.65,-20.71,-4.95,128.36,KOSPI_PROXY_KODEX200,-2.42,-18.23,-44.7,84975066000,150761803535,0.56,correction_watch,
